n,time
457,0.329179
458,0.349736
459,0.334784
460,0.330721
461,0.332412
462,0.334738
463,0.334188
464,0.333503
465,0.33539
466,0.333039
467,0.564665
468,0.362699
469,0.399174
470,0.381626
471,0.367829
472,0.350365
473,0.353943
474,0.342998
475,0.346276
476,0.358103
477,0.351879
478,0.354462
479,0.3559
480,0.352582
481,0.346948
482,0.365749
483,0.360434
484,0.367878
485,0.358474
486,0.510394
487,0.368551
488,0.396004
489,0.393979
490,0.394469
491,0.355159
492,0.352399
493,0.352643
494,0.351943
495,0.353397
496,0.35699
497,0.35673
498,0.355266
499,0.356513
500,0.354002
501,0.360936
502,0.369943
503,0.359322
504,0.537762
505,0.36755
506,0.362377
507,0.362342
508,0.362233
509,0.365179
510,0.368595
511,0.363683
512,0.412041
513,0.364398
514,0.368622
515,0.366544
516,0.368579
517,0.371245
518,0.366966
519,0.373032
520,0.370897
521,0.509526
522,0.408045
523,0.372111
524,0.373595
525,0.375016
526,0.376329
527,0.374183
528,0.373589
529,0.374975
530,0.376115
531,0.376931
532,0.376773
533,0.381716
534,0.375726
535,0.37764
536,0.38295
537,0.383115
538,0.535764
539,0.41307
540,0.397825
541,0.396394
542,0.400236
543,0.416994
544,0.395466
545,0.39656
546,0.396093
547,0.397766
548,0.40071
549,0.396852
550,0.401281
551,0.403601
552,0.406407
553,0.405006
554,0.408405
555,0.542832
556,0.398287
557,0.391679
558,0.394768
559,0.394144
560,0.398743
561,0.401372
562,0.438565
563,0.399325
564,0.413267
565,0.409334
566,0.41469
567,0.405828
568,0.403788
569,0.403933
570,0.402925
571,0.564049
572,0.424077
573,0.452594
574,0.461596
575,0.408992
576,0.402198
577,0.405348
578,0.405009
579,0.411503
580,0.41202
581,0.429949
582,0.411123
583,0.418412
584,0.412535
585,0.412446
586,0.412784
587,0.625826
588,0.418237
589,0.413796
590,0.431189
591,0.41736
592,0.414238
593,0.41926
594,0.419496
595,0.416823
596,0.417054
597,0.418507
598,0.418666
599,0.421432
600,0.423249
601,0.42799
602,0.642361
603,0.48973
604,0.476416
605,0.449736
606,0.43145
607,0.428672
608,0.470063
609,0.429001
610,0.434879
611,0.431736
612,0.435812
613,0.435059
614,0.430342
615,0.434109
616,0.429225
617,0.605104
618,0.465029
619,0.491701
620,0.480081
621,0.435139
622,0.436179
623,0.443657
624,0.436548
625,0.454689
626,0.439869
627,0.437182
628,0.440263
629,0.440917
630,0.441139
631,0.445054
632,0.596733
633,0.441818
634,0.45899
635,0.444408
636,0.44567
637,0.447729
638,0.448208
639,0.447476
640,0.448676
641,0.449284
642,0.452236
643,0.454395
644,0.452734
645,0.453444
646,0.598473
647,0.524494
648,0.508365
649,0.470806
650,0.453944
651,0.474125
652,0.455942
653,0.455076
654,0.462634
655,0.45847
656,0.460503
657,0.466281
658,0.46293
659,0.465736
660,0.620653
661,0.526659
662,0.518086
663,0.507438
664,0.483663
665,0.469134
666,0.469312
667,0.49725
668,0.470227
669,0.468308
670,0.472133
671,0.467573
672,0.490462
673,0.490776
674,0.683728
675,0.529479
676,0.530425
677,0.520798
678,0.476308
679,0.476734
680,0.47776
681,0.474988
682,0.478803
683,0.480566
684,0.478379
685,0.479796
686,0.482481
687,0.480583
688,0.702025
689,0.481095
690,0.48479
691,0.502791
692,0.485682
693,0.485472
694,0.484362
695,0.48517
696,0.481235
697,0.489396
698,0.490481
699,0.490522
700,0.491479
701,0.759238
702,0.540241
703,0.533631
704,0.493441
705,0.49177
706,0.508514
707,0.491545
708,0.492517
709,0.492901
710,0.49301
711,0.492538
712,0.497296
713,0.501776
714,0.765459
715,0.572875
716,0.564115
717,0.521953
718,0.498148
719,0.497656
720,0.505821
721,0.503619
722,0.518595
723,0.506569
724,0.501231
725,0.508223
726,0.507711
727,0.661635
728,0.533404
729,0.591704
730,0.548096
731,0.506463
732,0.507827
733,0.510588
734,0.512278
735,0.511426
736,0.512294
737,0.518298
738,0.516689
739,0.517931
740,0.741817
741,0.512338
742,0.514896
743,0.51527
744,0.538759
745,0.516153
746,0.52102
747,0.520673
748,0.517213
749,0.520144
750,0.519471
751,0.526114
752,0.736322
753,0.54567
754,0.525673
755,0.526607
756,0.522256
757,0.526874
758,0.523662
759,0.547013
760,0.532101
761,0.528199
762,0.530013
763,0.532168
764,0.531496
765,0.783983
766,0.612866
767,0.589156
768,0.53639
769,0.537972
770,0.537004
771,0.532563
772,0.531563
773,0.555128
774,0.537551
775,0.542059
776,0.538672
777,0.692895
778,0.580292
779,0.607332
780,0.582147
781,0.541288
782,0.542433
783,0.540527
784,0.543377
785,0.546382
786,0.548112
787,0.552567
788,0.548948
789,0.697489
790,0.547912
791,0.544676
792,0.548898
793,0.550996
794,0.564128
795,0.551174
796,0.553377
797,0.550354
798,0.553001
799,0.554706
800,0.554213
801,0.815235
802,0.621926
803,0.586367
804,0.570181
805,0.554592
806,0.560255
807,0.560035
808,0.560146
809,0.557022
810,0.55979
811,0.563723
812,0.817289
813,0.609561
814,0.653869
815,0.599488
816,0.57958
817,0.56507
818,0.566117
819,0.583737
820,0.58813
821,0.583923
822,0.571738
823,0.570525
824,0.797813
825,0.567586
826,0.571127
827,0.602287
828,0.570683
829,0.572857
830,0.576349
831,0.578868
832,0.574501
833,0.576456
834,0.585397
835,0.737474
836,0.574736
837,0.584696
838,0.59621
839,0.602831
840,0.582695
841,0.594441
842,0.585735
843,0.584017
844,0.584633
845,0.584091
846,0.747114
847,0.661375
848,0.649123
849,0.583404
850,0.591658
851,0.589543
852,0.601268
853,0.588555
854,0.594375
855,0.59169
856,0.594004
857,0.768262
858,0.62197
859,0.664509
860,0.631437
861,0.594883
862,0.594635
863,0.596876
864,0.598287
865,0.596235
866,0.597023
867,0.605515
868,0.762074
869,0.594909
870,0.601848
871,0.59557
872,0.596716
873,0.626408
874,0.599927
875,0.603161
876,0.606893
877,0.611521
878,0.609256
879,0.950768
880,0.681678
881,0.628909
882,0.607366
883,0.606523
884,0.607296
885,0.608324
886,0.615263
887,0.6091
888,0.611363
889,0.61271
890,0.893519
891,0.711251
892,0.62925
893,0.620202
894,0.614843
895,0.627788
896,0.615237
897,0.616983
898,0.627051
899,0.624393
900,0.871786
901,0.624057
902,0.615844
903,0.623813
904,0.640399
905,0.622656
906,0.621731
907,0.623963
908,0.629539
909,0.63077
910,0.632989
911,0.869218
912,0.622998
913,0.630494
914,0.631012
915,0.644459
916,0.651881
917,0.63498
918,0.633278
919,0.629649
920,0.628241
921,0.832511
922,0.648723
923,0.631603
924,0.63418
925,0.635097
926,0.638541
927,0.636518
928,0.645261
929,0.646928
930,0.643071
931,0.813475
932,0.700405
933,0.715553
934,0.657563
935,0.638762
936,0.648321
937,0.6463
938,0.646969
939,0.64888
940,0.645931
941,0.800143
942,0.647747
943,0.648823
944,0.65049
945,0.66634
946,0.686785
947,0.650018
948,0.652798
949,0.656214
950,0.650823
951,0.925047
952,0.700738
953,0.651431
954,0.653281
955,0.654953
956,0.655602
957,0.656283
958,0.670839
959,0.658905
960,0.662245
961,0.850824
962,0.729788
963,0.72962
964,0.656854
965,0.659244
966,0.660758
967,0.667304
968,0.664552
969,0.675301
970,0.665089
971,0.893782
972,0.7291
973,0.730995
974,0.66542
975,0.687704
976,0.675423
977,0.671013
978,0.66761
979,0.669152
980,0.677047
981,0.963149
982,0.738945
983,0.732101
984,0.674412
985,0.675943
986,0.692543
987,0.678786
988,0.679611
989,0.675165
990,0.679282
991,1.002418
992,0.769294
993,0.718652
994,0.681582
995,0.685193
996,0.681651
997,0.683074
998,0.687458
999,0.694354
1000,0.843749
1001,0.682577
1002,0.714729
1003,0.68577
1004,0.694008
1005,0.691581
1006,0.689956
1007,0.687704
1008,0.696676
1009,0.692214
1010,1.037233
1011,0.753367
1012,0.694825
1013,0.712251
1014,0.693512
1015,0.693404
1016,0.695615
1017,0.690894
1018,0.695323
1019,0.84096
1020,0.696426
1021,0.698303
1022,0.696965
1023,0.698282
1024,0.711723
1025,0.69673
1026,0.703645
1027,0.702384
1028,0.856325
1029,0.704106
1030,0.715336
1031,0.701827
1032,0.702019
1033,0.711046
1034,0.709197
1035,0.705924
1036,0.71381
1037,0.713977
1038,0.918268
1039,0.743453
1040,0.708301
1041,0.730727
1042,0.715382
1043,0.738604
1044,0.711583
1045,0.715412
1046,0.716219
1047,0.891381
1048,0.799103
1049,0.737151
1050,0.717982
1051,0.745648
1052,0.715315
1053,0.723095
1054,0.721277
1055,0.720073
1056,0.864674
1057,0.734009
1058,0.726708
1059,0.720114
1060,0.721668
1061,0.720897
1062,0.729643
1063,0.720011
1064,0.728367
1065,0.888114
1066,0.733252
1067,0.726217
1068,0.726034
1069,0.726675
1070,0.72572
1071,0.739737
1072,0.734135
1073,0.732471
1074,0.88843
1075,0.733879
1076,0.733333
1077,0.737323
1078,0.75839
1079,0.734742
1080,0.73664
1081,0.742119
1082,0.737147
1083,0.908612
1084,0.738667
1085,0.738216
1086,0.739765
1087,0.738789
1088,0.7442
1089,0.743056
1090,0.744825
1091,0.746668
1092,1.036433
1093,0.764947
1094,0.770043
1095,0.744463
1096,0.742779
1097,0.761384
1098,0.747816
1099,0.758223
1100,0.910813
1101,0.826449
1102,0.806818
1103,0.754403
1104,0.779002
1105,0.753447
1106,0.755866
1107,0.76512
1108,0.759672
1109,0.973246
1110,0.838016
1111,0.801049
1112,0.761098
1113,0.762405
1114,0.776388
1115,0.763304
1116,0.762001
1117,0.767479
1118,1.06255
1119,0.879501
1120,0.789462
1121,0.768897
1122,0.764245
1123,0.770062
1124,0.769614
1125,0.770877
1126,1.002567
1127,0.767783
1128,0.770863
1129,0.789775
1130,0.77134
1131,0.7746
1132,0.777518
1133,0.773068
1134,0.793645
1135,0.949557
1136,0.771744
1137,0.783318
1138,0.775499
1139,0.78863
1140,0.777849
1141,0.781227
1142,0.809156
1143,1.096463
1144,0.8726
1145,0.803286
1146,0.781903
1147,0.786633
1148,0.785714
1149,0.782601
1150,0.790857
1151,0.977167
1152,0.843542
1153,0.883797
1154,0.788429
1155,0.788207
1156,0.795198
1157,0.794225
1158,0.806113
1159,0.793104
1160,0.973691
1161,0.807086
1162,0.795778
1163,0.817826
1164,0.796611
1165,0.8007
1166,0.809166
1167,0.80448
1168,0.999681
1169,0.797933
1170,0.815772
1171,0.8026
1172,0.852444
1173,0.82267
1174,0.801354
1175,0.805581
1176,0.922565
1177,0.838115
1178,0.824258
1179,0.827353
1180,0.831653
1181,0.830406
1182,0.835516
1183,0.857964
1184,0.957374
1185,0.900174
1186,1.083232
1187,0.810778
1188,0.863295
1189,0.866272
1190,0.834133
1191,0.834184
1192,0.972997
1193,0.894705
1194,0.849709
1195,0.840097
1196,0.8289
1197,0.8267
1198,0.834879
1199,0.82732
1200,0.989358
1201,0.850261
1202,0.825339
1203,0.82881
1204,0.843539
1205,0.855037
1206,0.828705
1207,0.83294
1208,0.910883
1209,0.914146
1210,0.907771
1211,0.830822
1212,0.830043
1213,0.8315
1214,0.837837
1215,0.834749
1216,0.982787
1217,0.853479
1218,0.874006
1219,0.828682
1220,0.833662
1221,0.834806
1222,0.837567
1223,0.842055
1224,1.063516
1225,0.834706
1226,0.838989
1227,0.853984
1228,0.836561
1229,0.850169
1230,0.843439
1231,0.841093
1232,1.028828
1233,0.942868
1234,0.842351
1235,0.83825
1236,0.89609
1237,0.840724
1238,0.847149
1239,0.848191
1240,1.041435
1241,0.980833
